bearing_deg,length_km
0,152.849
3,156.855
6,164.544
9,227.12
12,198.701
15,181.791
18,184.821
21,188.159
24,164.295
27,156.975
30,141.277
33,135.384
36,125.331
39,114.836
42,121.793
45,116.209
48,120.97
51,117.51
54,104.359
57,103.938
60,104.219
63,102.15
66,31.828
69,28.422
72,25.738
75,23.399
78,20.799
81,18.45
84,15.646
87,2.817
90,2.134
93,1.722
96,1.446
99,1.249
102,1.103
105,0.989
108,0.899
111,0.826
114,0.766
117,0.716
120,0.674
123,0.638
126,0.607
129,0.581
132,0.558
135,0.538
138,0.522
141,0.507
144,0.495
147,0.484
150,0.475
153,0.488
156,0.504
159,0.522
162,0.544
165,0.568
168,0.597
171,0.63
174,0.67
177,0.716
180,0.772
183,0.84
186,0.924
189,1.03
192,1.166
195,1.349
198,1.604
201,1.985
204,2.614
207,3.015
210,3.367
213,12.164
216,61.059
219,65.107
222,68.14
225,70.709
228,73.69
231,85.953
234,92.418
237,772.12
240,756.846
243,742.408
246,743.757
249,764.254
252,760.38
255,752.598
258,756.795
261,777.453
264,780.267
267,757.308
270,725.537
273,702.593
276,831.518
279,810.514
282,775.359
285,179.112
288,154.085
291,146.741
294,133.385
297,126.253
300,119.508
303,120.324
306,120.065
309,118.921
312,115.793
315,116.842
318,115.25
321,116.025
324,116.777
327,118.014
330,121.153
333,124.74
336,125.195
339,130.364
342,133.24
345,136.647
348,148.142
351,149.692
354,155.296
357,151.616
